DATE_TIME,PE,PRECIP,EFF_RAIN
2015-03-05,0.9,0.0,-0.9
2015-03-06,1.9,0.0,-1.9
2015-03-07,1.9,0.0,-1.9
2015-03-08,1.0,0.0,-1.0
2015-03-09,0.6,1.7800000000000002,1.1800000000000002
2015-03-10,1.2,0.0,-1.2
2015-03-11,1.0,0.8700000000000001,-0.1299999999999999
2015-03-12,1.9,0.1,-1.7999999999999998
2015-03-13,0.9,2.4799999999999995,1.5799999999999996
2015-03-14,0.8,0.0,-0.8
2015-03-15,0.9,0.0,-0.9
2015-03-16,0.4,0.0,-0.4
2015-03-17,0.9,0.13,-0.77
2015-03-18,0.5,0.05,-0.45
2015-03-19,0.6,0.0,-0.6
2015-03-20,1.2,0.0,-1.2
2015-03-21,1.2,0.0,-1.2
2015-03-22,1.3,0.0,-1.3
2015-03-23,1.1,0.0,-1.1
2015-03-24,1.4,0.94,-0.45999999999999996
2015-03-25,1.6,0.13,-1.4700000000000002
2015-03-26,1.2,3.0900000000000003,1.8900000000000003
2015-03-27,1.5,0.0,-1.5
2015-03-28,1.0,1.51,0.51
2015-03-29,1.1,5.140000000000001,4.040000000000001
2015-03-30,1.6,4.039999999999999,2.439999999999999
2015-03-31,1.8,1.05,-0.75
2015-04-01,1.6,0.1,-1.5
2015-04-02,1.9,0.0,-1.9
2015-04-03,0.6,4.349999999999999,3.7499999999999987
2015-04-04,1.3,0.0,-1.3
2015-04-05,1.8,0.0,-1.8
2015-04-06,1.9,0.0,-1.9
2015-04-07,2.5,0.0,-2.5
2015-04-08,1.9,0.0,-1.9
2015-04-09,2.1,0.0,-2.1
2015-04-10,2.6,0.0,-2.6
2015-04-11,2.7,0.37,-2.33
2015-04-12,1.0,0.9100000000000001,-0.08999999999999986
2015-04-13,2.2,0.0,-2.2
2015-04-14,2.2,0.0,-2.2
2015-04-15,0.9,0.0,-0.9
2015-04-16,1.7,0.0,-1.7
2015-04-17,2.3,0.0,-2.3
2015-04-18,2.3,0.05,-2.25
2015-04-19,1.7,1.04,-0.6599999999999999
2015-04-20,2.2,0.0,-2.2
2015-04-21,2.9,0.0,-2.9
2015-04-22,2.5,0.0,-2.5
2015-04-23,2.0,0.0,-2.0
2015-04-24,2.5,0.0,-2.5
2015-04-25,1.6,1.8199999999999998,0.21999999999999975
2015-04-26,3.1,0.0,-3.1
2015-04-27,3.0,0.36,-2.64
2015-04-28,2.5,0.12,-2.38
2015-04-29,2.7,2.0300000000000002,-0.6699999999999999
2015-04-30,2.0,0.5700000000000001,-1.43
2015-05-01,2.0,0.0,-2.0
2015-05-02,1.9,0.13,-1.77
2015-05-03,1.3,14.639999999999999,13.339999999999998
2015-05-04,2.7,0.78,-1.9200000000000002
2015-05-05,2.3,18.449999999999996,16.149999999999995
2015-05-06,1.4,0.76,-0.6399999999999999
2015-05-07,2.4,0.0,-2.4
2015-05-08,2.0,18.669999999999998,16.669999999999998
2015-05-09,1.1,0.11,-0.9900000000000001
2015-05-10,2.4,0.0,-2.4
2015-05-11,3.5,0.0,-3.5
2015-05-12,2.8,0.6,-2.1999999999999997
2015-05-13,2.2,0.0,-2.2
2015-05-14,1.3,0.0,-1.3
2015-05-15,2.9,0.0,-2.9
2015-05-16,3.1,0.0,-3.1
2015-05-17,2.1,0.36,-1.7400000000000002
2015-05-18,1.9,4.53,2.6300000000000003
2015-05-19,2.2,3.0799999999999996,0.8799999999999994
2015-05-20,2.7,0.0,-2.7
2015-05-21,3.2,0.0,-3.2
2015-05-22,2.7,0.0,-2.7
2015-05-23,3.3,0.0,-3.3
2015-05-24,2.7,0.9400000000000001,-1.7600000000000002
2015-05-25,1.9,0.0,-1.9
2015-05-26,2.9,0.0,-2.9
2015-05-27,2.1,2.06,-0.040000000000000036
2015-05-28,3.1,0.0,-3.1
2015-05-29,1.9,6.13,4.23
2015-05-30,3.5,0.0,-3.5
2015-05-31,2.0,4.429999999999999,2.429999999999999
2015-06-01,2.4,12.44,10.04
2015-06-02,2.6,2.43,-0.16999999999999993
2015-06-03,3.3,0.0,-3.3
2015-06-04,4.2,0.0,-4.2
2015-06-05,3.5,0.0,-3.5
2015-06-06,3.7,0.0,-3.7
2015-06-07,4.3,0.0,-4.3
2015-06-08,2.5,0.18,-2.32
2015-06-09,3.4,0.0,-3.4
2015-06-10,3.8,0.0,-3.8
2015-06-11,4.2,0.11,-4.09
2015-06-12,4.0,0.0,-4.0
2015-06-13,2.0,12.469999999999999,10.469999999999999
2015-06-14,1.1,1.35,0.25
2015-06-15,3.6,0.0,-3.6
2015-06-16,3.1,0.0,-3.1
2015-06-17,2.0,0.36,-1.6400000000000001
2015-06-18,2.3,0.09,-2.21
2015-06-19,1.3,0.0,-1.3
2015-06-20,1.6,1.1600000000000001,-0.43999999999999995
2015-06-21,2.9,0.12,-2.78
2015-06-22,1.6,1.5699999999999998,-0.03000000000000025
2015-06-23,1.9,0.0,-1.9
2015-06-24,3.6,0.0,-3.6
2015-06-25,2.8,0.0,-2.8
2015-06-26,2.5,0.0,-2.5
2015-06-27,4.4,0.0,-4.4
2015-06-28,2.6,0.32,-2.2800000000000002
2015-06-29,4.1,0.0,-4.1
2015-06-30,5.4,0.0,-5.4
2015-07-01,4.6,0.0,-4.6
2015-07-02,3.0,2.04,-0.96
2015-07-03,4.5,0.05,-4.45
2015-07-04,3.0,16.16,13.16
2015-07-05,2.0,1.3,-0.7
2015-07-06,2.6,1.48,-1.12
2015-07-07,2.6,7.39,4.789999999999999
2015-07-08,1.6,5.13,3.53
2015-07-09,4.2,0.0,-4.2
2015-07-10,4.2,0.0,-4.2
2015-07-11,3.7,0.41000000000000003,-3.29
2015-07-12,3.6,0.6900000000000001,-2.91
2015-07-13,1.6,2.41,0.81
2015-07-14,2.2,0.0,-2.2
2015-07-15,3.8,0.0,-3.8
2015-07-16,3.9,0.0,-3.9
2015-07-17,3.0,3.34,0.33999999999999986
2015-07-18,3.7,0.0,-3.7
2015-07-19,2.7,4.879999999999999,2.179999999999999
2015-07-20,2.8,0.0,-2.8
2015-07-21,2.5,0.41000000000000003,-2.09
2015-07-22,1.9,0.0,-1.9
2015-07-23,2.5,0.08,-2.42
2015-07-24,2.1,0.0,-2.1
2015-07-25,2.7,,
2015-07-26,2.2,4.19,1.9900000000000002
2015-07-27,1.4,4.67,3.27
2015-07-28,1.4,15.54,14.139999999999999
2015-07-29,2.8,1.8,-0.9999999999999998
2015-07-30,2.2,0.15000000000000002,-2.0500000000000003
2015-07-31,2.9,0.0,-2.9
2015-08-01,2.1,2.7800000000000002,0.6800000000000002
2015-08-02,2.5,0.05,-2.45
2015-08-03,3.7,0.0,-3.7
2015-08-04,2.5,0.0,-2.5
2015-08-05,3.2,0.0,-3.2
2015-08-06,2.7,0.0,-2.7
2015-08-07,3.0,0.0,-3.0
2015-08-08,3.5,0.0,-3.5
2015-08-09,2.8,0.0,-2.8
2015-08-10,2.6,9.3,6.700000000000001
2015-08-11,2.5,0.0,-2.5
2015-08-12,2.8,0.0,-2.8
2015-08-13,1.8,0.65,-1.15
2015-08-14,0.5,13.440000000000001,12.940000000000001
2015-08-15,3.4,0.0,-3.4
2015-08-16,2.7,0.0,-2.7
2015-08-17,3.2,0.0,-3.2
2015-08-18,0.7,24.81,24.11
2015-08-19,3.0,0.7999999999999999,-2.2
2015-08-20,2.0,0.25,-1.75
2015-08-21,2.6,0.67,-1.9300000000000002
2015-08-22,2.3,16.740000000000002,14.440000000000001
2015-08-23,3.5,5.39,1.8899999999999997
2015-08-24,1.9,0.0,-1.9
2015-08-25,2.5,0.07,-2.43
2015-08-26,2.4,2.93,0.5300000000000002
2015-08-27,2.8,0.0,-2.8
2015-08-28,2.7,0.0,-2.7
2015-08-29,2.3,0.0,-2.3
2015-08-30,1.8,0.0,-1.8
2015-08-31,1.0,6.739999999999999,5.739999999999999
2015-09-01,2.2,,
2015-09-02,1.4,1.23,-0.16999999999999993
2015-09-03,1.3,0.07,-1.23
2015-09-04,1.2,0.08,-1.1199999999999999
2015-09-05,1.7,0.0,-1.7
2015-09-06,2.6,0.0,-2.6
2015-09-07,1.8,0.05,-1.75
2015-09-08,1.0,0.13,-0.87
2015-09-09,1.2,0.0,-1.2
2015-09-10,2.5,0.0,-2.5
2015-09-11,2.3,0.15000000000000002,-2.15
2015-09-12,1.1,4.83,3.73
2015-09-13,1.6,0.0,-1.6
2015-09-14,0.9,10.129999999999999,9.229999999999999
2015-09-15,1.0,25.99,24.99
2015-09-16,2.0,0.1,-1.9
2015-09-17,1.7,0.0,-1.7
2015-09-18,1.4,0.4,-0.9999999999999999
2015-09-19,2.0,0.0,-2.0
2015-09-20,1.5,0.0,-1.5
2015-09-21,0.6,3.7999999999999994,3.1999999999999993
